TaxYear,personalAllowanceValue,personalAllowanceThreshold,studentLoanThreshold,studentLoanPercentage,childBenefitThreshold,childBenefitChild1,childBenefitChildS
2014,10000,100000,16910,0.09,50000,1066,704.6
2015,10600,100000,17335,0.09,50000,1076.4,712.4
